"","predicate","response"
"1","big",0.842325581395349
"2","blue",0.487878787878788
"3","broff",0.295333333333333
"4","glab",0.393548387096774
"5","green",0.538474576271186
"6","kolch",0.166470588235294
"7","lann",0.264375
"8","muic",0.281111111111111
"9","physs",0.106315789473684
"10","plach",0.341666666666667
"11","red",0.506727272727273
"12","scrib",0.290555555555556
"13","small",0.866436781609195
"14","yunt",0.308947368421053
"15","gelt",0.316923076923077
"16","gwigs",0.316
"17","olm",0.413125
"18","twell",0.623571428571429
"19","hafs",0.25
"20","cref",0.315714285714286
