"","(Intercept)","containsSubjectiveAdjective.Centered"
"brirk",0.158349926281457,-0.076671263461152
"yafs",0.158349926281457,-0.0292181925572321
"squalf",0.158349926281457,-0.0266033290458583
"juints",0.158349926281457,-0.0232187166643023
"brame",0.158349926281457,-0.0201762734706571
"fict",0.158349926281457,-0.00193821269033168
"anns",0.158349926281457,-0.00184403683626127
"physs",0.158349926281457,-0.000864685881273794
"phoys",0.158349926281457,1.60119704132738e-05
"lann",0.158349926281457,0.000657766173794587
"jaund",0.158349926281457,0.00106197891275878
"trafes",0.158349926281457,0.00182579298861647
"spyck",0.158349926281457,0.0027459314391613
"duilts",0.158349926281457,0.00360972496715235
"slalps",0.158349926281457,0.00478892389631574
"fruith",0.158349926281457,0.00501283013451523
"yunt",0.158349926281457,0.00503088360415273
"scorcs",0.158349926281457,0.00528707597262056
"therv",0.158349926281457,0.00739473791968233
"kolch",0.158349926281457,0.00876540434905592
"clou",0.158349926281457,0.0138708449943664
"plach",0.158349926281457,0.0150341755401755
"dwake",0.158349926281457,0.025217656024626
"fonns",0.158349926281457,0.0254548113594287
"jite",0.158349926281457,0.0293579845876984
"thomps",0.158349926281457,0.0349333853142532
"praife",0.158349926281457,0.0351590776185276
"bamn",0.158349926281457,0.0368501338426261
"gwigs",0.158349926281457,0.0369148781860032
"ceched",0.158349926281457,0.0369900726850443
"spraived",0.158349926281457,0.0369901594151276
"twell",0.158349926281457,0.0370234824534814
"cref",0.158349926281457,0.0371257141815599
"scrib",0.158349926281457,0.0372045930781778
"gelt",0.158349926281457,0.0373169263997402
"preathe",0.158349926281457,0.0373293598186161
"spunes",0.158349926281457,0.0373611177194997
"rhould",0.158349926281457,0.0373926724470419
"niege",0.158349926281457,0.0373973735217065
"irv",0.158349926281457,0.0374994863094421
"olm",0.158349926281457,0.0375827014118592
"blef",0.158349926281457,0.0377311519450097
"twawls",0.158349926281457,0.0379594781672
"joids",0.158349926281457,0.0629326498317405
"trunce",0.158349926281457,0.0665033363695049
"broff",0.158349926281457,0.100268059932046
"grirped",0.158349926281457,0.105139180658328
"crooch",0.158349926281457,0.150412180706474
"toch",0.158349926281457,0.160189426841076
"lised",0.158349926281457,0.17460036538111
"ghoice",0.158349926281457,0.209851490448965
"cuint",0.158349926281457,0.269243274251175
