"","adjID","slopes","intercepts","alienAdjective"
"25",25,0.0435688938306803,-1.0732070124893,"jaund"
"23",23,0.0457435629837174,-1.07955696041747,"heaned"
"20",20,0.0493012073479164,-1.14460794173658,"grirped"
"3",3,0.0532244486949688,-1.13523686895758,"blef"
"58",58,0.0533018105988277,-1.13764454170683,"yafs"
"14",14,0.0543367555819879,-1.11516538075008,"fict"
"5",5,0.054477321687767,-1.17287662185997,"brirk"
"37",37,0.0571682846214337,-1.13280330067856,"physs"
"51",51,0.0571760684346613,-1.10848638340609,"thomps"
"16",16,0.057746969798526,-1.14303311309439,"fruith"
"52",52,0.0582447721542386,-1.10879643459885,"toch"
"17",17,0.0585074125010144,-1.13715786817538,"gelt"
"34",34,0.0585656670845465,-1.13570843001119,"niege"
"28",28,0.0588876151918116,-1.16990716622809,"juints"
"30",30,0.0590172362090474,-1.12864854677441,"lann"
"42",42,0.0591333724059699,-1.16049217896752,"scorcs"
"43",43,0.0593397497723198,-1.14548794476607,"scrib"
"29",29,0.0598935802792667,-1.09625062999786,"kolch"
"31",31,0.0600843583994907,-1.0584897387689,"lised"
"39",39,0.0603552838982637,-1.13013678811943,"praife"
"57",57,0.0604852991985597,-1.12971351566235,"twell"
"19",19,0.0610694537961154,-1.11748980517417,"glab"
"46",46,0.0613955045931591,-1.13512333649783,"spraived"
"11",11,0.0614027840876966,-1.11639753787319,"cuint"
"10",10,0.0618526451019466,-1.14762015011414,"crooch"
"53",53,0.0618915322784821,-1.10299084088993,"trafes"
"56",56,0.0621554095509277,-1.14436135256479,"twawls"
"27",27,0.0630858731225432,-1.15021615895855,"joids"
"55",55,0.0631143290078686,-1.14500074874983,"twad"
"8",8,0.0634354058437067,-1.14661985096868,"clou"
"18",18,0.0640317380303917,-1.14835133487214,"ghoice"
"32",32,0.0642179608854097,-1.17598120931301,"milbed"
"50",50,0.0643732375490011,-1.14789248591429,"therv"
"9",9,0.0645896106882612,-1.15840093647561,"cref"
"35",35,0.0649927615321527,-1.14277591143689,"olm"
"40",40,0.0650192702031435,-1.13991283969151,"preathe"
"33",33,0.065315065318547,-1.12874993373246,"muic"
"54",54,0.0654059125153892,-1.12771967340382,"trunce"
"59",59,0.0660719782703929,-1.13436803460156,"yunt"
"12",12,0.06625163291709,-1.15237398989838,"duilts"
"47",47,0.0666509263988493,-1.16705272034376,"spunes"
"44",44,0.0668412973469094,-1.16267334841837,"slalps"
"22",22,0.0670816274833524,-1.15198982486828,"hafs"
"49",49,0.0672609442561112,-1.14598552214268,"squalf"
"2",2,0.0675097299588519,-1.15774022022608,"bamn"
"21",21,0.068987014790716,-1.13712561251258,"gwigs"
"1",1,0.0695113135299979,-1.13431455517731,"anns"
"13",13,0.0704827629469133,-1.1332128839811,"dwake"
"26",26,0.0718439751789766,-1.15375207163144,"jite"
"38",38,0.0723443372878398,-1.12450262292897,"plach"
"48",48,0.072421379489906,-1.19498573931274,"spyck"
"24",24,0.0730472247250037,-1.11739211500247,"irv"
"15",15,0.0738577151430007,-1.13485102973967,"fonns"
"7",7,0.0752556976547249,-1.14204243454823,"ceched"
"41",41,0.0792512134113571,-1.17388608534402,"rhould"
"45",45,0.0801013012480971,-1.19752502838868,"snurts"
"36",36,0.0809236103585929,-1.17877483883725,"phoys"
"6",6,0.0811161563489984,-1.03607883410449,"broff"
"4",4,0.0824272711346392,-1.09300666942221,"brame"

